country,iso3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,population,population_million,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90
Belgium,BEL,Europe,Western Europe,,,,,Europe,https://www.countryflags.io/be/flat/64.png,11433256,11.433256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.087464146,.087464146,.087464146,.029154716,.029154716,.058309432,.17492829,.29154715,.46647546,.78717732,1.5452,1.5743546,1.4868906,1.6035094,3.0029356,3.8484225,4.8688374,5.1020751,6.1516452,6.5306563,10.26246,11.574422,14.519049,12.769766,13.265396,12.711456,14.256656,21.924347,23.11969,25.976852,28.68824,32.245117,31.39963,25.772768,23.644474,24.489962,27.813599,30.612452
Benin,BEN,Africa,Sub-Saharan Africa,Western Africa,,,,Africa,https://www.countryflags.io/bj/flat/64.png,11485048,11.485048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.029023241,.029023241,.029023241,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,Africa,Sub-Saharan Africa,Western Africa,,,,Africa,https://www.countryflags.io/bf/flat/64.png,19751535,19.751535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.016876325,.016876325,.016876325,.016876325,.050628975,.050628975,.03375265,0,.050628975,.084381625,.11813428,.084381625,.050628975,.050628975,.0675053,.0675053,.03375265,0,.016876325,.03375265,.050628975,.10125795,.10125795,.084381625,.0675053,.050628975,.050628975,.050628975,.084381625,.084381625,.050628975
Bangladesh,BGD,Asia,Southern Asia,,,,,Asia,https://www.countryflags.io/bd/flat/64.png,161356039,161.35603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002065825,.002065825,.002065825,.002065825,.002065825,.0041316501,.0041316501,.0061974749,.0041316501,.002065825,0,0,0,0,.002065825,.002065825,.002065825,.0041316501,.0061974749,.01239495,.018592425,.022724075,.018592425,.020658251,.020658251,.026855726,.0247899,.033053201,.033053201,.043382324,.043382324
Bulgaria,BGR,Europe,Eastern Europe,,,,,Europe,https://www.countryflags.io/bg/flat/64.png,7025037,7.0250368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.047449335,.047449335,.047449335,.047449335,.047449335,.047449335,0,0,.047449335,.047449335,.047449335,0,0,0,0,0,0,.18979734,.23724668,.23724668,.047449335,.094898671,.094898671,.28469601,.33214536,.47449335,.37959468,.28469601,.18979734,.094898671,.094898671,.18979734,.23724668,.33214536,.33214536,.33214536,.28469601,.21352202
Bahrain,BHR,Asia,Western Asia,,,,,Asia,https://www.countryflags.io/bh/flat/64.png,1569439,1.5694391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.21239011,.21239011,.21239011,0,0,0,.21239011,.21239011,.42478022,.42478022,.42478022,.21239011,0,0,0,0,0,0,0,0,0,0,.21239011,.21239011,.21239011,.21239011,.21239011,.21239011,0,.21239011,.21239011,.21239011,0
Bahamas,BHS,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bs/flat/64.png,385640,.38564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.86436403,.86436403,.86436403,2.593092,2.593092,3.4574561,1.7287281,2.593092,2.593092,1.7287281,.86436403,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,Europe,Southern Europe,,,,,Europe,https://www.countryflags.io/ba/flat/64.png,3323929,3.3239291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10028292,.10028292,.10028292,.20056584,.20056584,.20056584,.10028292,.20056584,.30084878,.60169756,.80226338,.70198047,.60169756,.40113169,.80226338,.70198047,1.2033951,1.2033951,1.1031122,.60169756,.30084878,.30084878,.40113169,.30084878,.30084878,.20056584,.40113169,.45127317
Belarus,BLR,Europe,Eastern Europe,,,,,Europe,https://www.countryflags.io/by/flat/64.png,9483499,9.4834986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.035148773,.070297547,.14059509,.10544632,.10544632,.14059509,.31633896,.28119019,.17574386,.10544632,.21089263,.35148773,.35148773,.35148773,.35148773,.35148773,.3866365,.3690621
Belize,BLZ,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/bz/flat/64.png,383071,.38307101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.8701607,.8701607,.8701607,0,.8701607,.8701607,.8701607,0,0,0,0,0
Bolivia,BOL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/bo/flat/64.png,11353142,11.353142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.029360449,.1174418,.17616269,.17616269,.1174418,.088081345,.088081345,.058720898,.058720898,.1174418,.14680225,.20552313,.14680225,.14680225,.17616269,.23488359,.23488359,.1174418,.058720898,.044040672
Brazil,BRA,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/br/flat/64.png,209469333,209.46933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0015913228,.0047739684,.0095479367,.015913229,.019095873,.030235134,.036600426,.049331009,.054104976,.068426885,.073200852,.082748786,.093888052,.10661864,.14321905,.16549757,.26256827,.25142902,.3262212,.25779429,.3262212,.3835088,.5299105,.6142506,.59038079,.48535347,.43443114,.43124849,.64925975,.81634861,.94842845,.93569785
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,286641,.286641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1628948,2.3257897,3.4886844,2.3257897,1.1628948,1.1628948,1.1628948,1.1628948,0,0,1.1628948,1.1628948,1.7443422
Brunei,BRN,Asia,South-eastern Asia,,,,,Asia,https://www.countryflags.io/bn/flat/64.png,428962,.42896199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.77706963,.77706963,.77706963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,Asia,Southern Asia,,,,,Asia,https://www.countryflags.io/bt/flat/64.png,754394,.75439399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,Africa,Sub-Saharan Africa,Southern Africa,,,,Africa,https://www.countryflags.io/bw/flat/64.png,2254126,2.2541261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14787696,.14787696,.14787696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,Africa,Sub-Saharan Africa,Middle Africa,,,,Africa,https://www.countryflags.io/cf/flat/64.png,4666377,4.6663771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Americas,Northern America,,,,,Americas,https://www.countryflags.io/ca/flat/64.png,37057765,37.057766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0089949658,.0089949658,.0089949658,0,0,0,0,.026984897,.035979863,.06296476,.04497483,.06296476,.098944619,.10793959,.11693455,.06296476,.080954693,.11693455,.25185904,.27884394,.23386911,.23386911,.35979864,.40477344,.53070295,.70160735,.98045129,1.0793959,1.4391946,1.4122096,1.331255,1.4751744,1.6370838,2.2217565,1.8979378,1.9968824,2.2037666,2.6265299,4.2995934,4.8302965
Switzerland,CHE,Europe,Western Europe,,,,,Europe,https://www.countryflags.io/ch/flat/64.png,8513227,8.5132275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.039154753,.039154753,.039154753,.039154753,.039154753,.078309506,.078309506,.078309506,.31323802,.35239279,.39154756,.11746427,.54816657,.54816657,1.0571784,1.0571784,1.8402735,2.2318211,2.5842137,1.8402735,2.1535115,2.7799876,4.267868,4.3461776,4.267868,5.0118084,6.6171536,7.361094,6.9303918,6.1864514,6.9695463,7.0087013,6.8129272,6.0689869,7.0478559,7.1653199,7.0870104,5.5208206,6.1864514,5.3250465,5.4033561,5.2075825,5.5991302,6.284338
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,18729160,18.72916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.017797559,.035595119,.035595119,.035595119,.035595119,.053392675,.053392675,.053392675,.053392675,.10678535,.16017804,.17797559,.17797559,.19577315,.28476095,.26696339,.28476095,.24916582,.35595119,.39154631,.44493896,.40934387,.30255851,.33815363,.24916582,.40934387,.3470524
China,CHN,Asia,Eastern Asia,,,,,Asia,https://www.countryflags.io/cn/flat/64.png,1392730000,1392.73,.0032310642,.0059834523,.0090948474,.013402933,.021301091,.018429033,.021301091,.019625723,.030156599,.045474239,.050739676,.055526435,.048346296,.049782321,.054329745,.057919819,.065099962,.070365399,.073476791,.050739676,.085443698,.097889282,.13067859,.095017225,.082092963,.081374951,.083768331,.089512445,.056244452,.078263558,.049542986,.085443698,.053133056,.065099962,.036140051,.029917261,.028720571,.030156599,.029677924,.026327189,.026566528,.024173148,.023215795,.021301091,.020343738,.018907709,.016035652,.014599623,.011727567,.0098128617,.0076588187,.0074194809,.0088555096,.0088555096,.0090948474,.0076588187,.0055047763,.0043080854,.0059834523,.0050260997,.005265438,.002632719,.0040687476,.0035900713,.0033507333,.0031113951,.002872057,.002393381,.002872057,.0033507333,.0040687476,.0033507333,.002632719,.0021540427,.0011966905,.00095735234,.00095735234,.0011966905,.0014360285,.00095735234,.0011966905,.00047867617,.00071801426,.00023933809,.00035900713
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,Western Africa,,,,Africa,https://www.countryflags.io/ci/flat/64.png,25069229,25.069229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.013296513,.013296513,.013296513,0,0,0,0,.026593026,.026593026,.026593026,0,0,0,.013296513,.026593026,.039889541,.026593026,.013296513,0,0
Cameroon,CMR,Africa,Sub-Saharan Africa,Middle Africa,,,,Africa,https://www.countryflags.io/cm/flat/64.png,25216237,25.216236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.013218996,.013218996,.026437992,.013218996,.06609498,.052875984,.052875984,0,.013218996,.026437992,.039656989,.026437992,.013218996,0,.013218996,.013218996,.039656989,.026437992,.026437992,0,.026437992,.06609498,.13218996,.15862796
Congo (Kinshasa),COD,Africa,Sub-Saharan Africa,Middle Africa,,,,Africa,https://www.countryflags.io/cd/flat/64.png,84068091,84.068092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0039650397,.0039650397,.0039650397,.0039650397,.0039650397,.0079300795,.0039650397,.015860159,.011895119,.0198252,.0079300795,.011895119,.0198252,.0198252,.035685357,.0198252,.0198252,0,0,0,.0079300795,.0079300795,.0079300795,0,0,.0039650397,.0079300795,.011895119
Congo (Brazzaville),COG,Africa,Sub-Saharan Africa,Middle Africa,,,,Africa,https://www.countryflags.io/cg/flat/64.png,5244363,5.2443628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12712063,.12712063,.12712063,.19068094,.19068094,.19068094,0,0,0,0,0,0,0,0,0,0
Colombia,COL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/co/flat/64.png,49648685,49.648685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01342768,.02014152,.02014152,.01342768,.02014152,.02014152,.01342768,.026855361,.040283039,.067138404,.04699688,.04699688,.060424559,.1007076,.10742144,.14099064,.12084912,.12756296,.15441832,.2014152,.30883664,.26855361,.21484289,.18127368,.14770448,.21484289,.17120293
Cabo Verde,CPV,Africa,Sub-Saharan Africa,Western Africa,,,,Africa,https://www.countryflags.io/cv/flat/64.png,543767,.54376698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.61300766,.61300766,.61300766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/cr/flat/64.png,4999441,4.9994411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.066674121,.066674121,.13334824,.066674121,.066674121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.066674121,.066674121,.066674121,0,0,0,0,.066674121,.066674121,.10001118
Cuba,CUB,Americas,Latin America and the Caribbean,Caribbean,1,,,Americas,https://www.countryflags.io/cu/flat/64.png,11338138,11.338138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.029399302,.029399302,.029399302,0,0,0,0,0,.029399302,.029399302,.058798604,.029399302,.058798604,.088197909,.088197909,.058798604,0,0,.058798604,.088197909,.14699651,.11759721,.17639582,.11759721,.11759721,.088197909,.17639582,.14699651,.17639582,.17639582,.26459372
Cyprus,CYP,Asia,Western Asia,,,,,Asia,https://www.countryflags.io/cy/flat/64.png,1189265,1.189265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.28028515,.28028515,.84085548,.5605703,.5605703,.5605703,.5605703,.5605703,.5605703,.84085548,1.1211406,.84085548,.84085548,.5605703,-.28028515,-.5605703,-.5605703,0,.28028515,.28028515,.28028515,.28028515,.5605703,.5605703,.28028515,0,0
Czech Republic,CZE,Europe,Eastern Europe,,,,,Europe,https://www.countryflags.io/cz/flat/64.png,10629928,10.629928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.031358007,.031358007,.094074018,.15679003,.25086406,.18814804,.15679003,.21950604,.43901208,.62716013,.72123414,.65851814,.68987614,.62716013,.72123414,.78395015,.90938216,1.0034562,1.0661722,.97209817,.94074017,.81530815,.75259215,1.0034562,.87802416,.81530815,.37629607
Germany,DEU,Europe,Western Europe,,,,,Europe,https://www.countryflags.io/de/flat/64.png,82905782,82.905785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0080412561,.0080412561,.012061885,.0040206281,.020103142,.024123769,.032165024,.040206283,.060309421,.06835068,.10855696,.17288701,.22515517,.2010314,.22515517,.29350585,.45031035,.57897043,.7438162,.91268259,1.0694871,1.2182504,1.3750548,1.5559831,1.8575302,2.010314,2.1068091,1.9178396,2.151036,2.2997992,3.0757806,3.2044406,3.0194917,1.5559831,1.6685607,1.7168082,2.2435105,3.1441312,3.4496989,4.571454
Djibouti,DJI,Africa,Sub-Saharan Africa,Eastern Africa,,,,Africa,https://www.countryflags.io/dj/flat/64.png,958920,.95892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.34761328,.69522655,.69522655,.34761328,0,0,0,0
Denmark,DNK,Europe,Northern Europe,,,,,Europe,https://www.countryflags.io/dk/flat/64.png,5793636,5.7936358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.057534397,.11506879,.17260319,.17260319,.11506879,.17260319,.28767198,.51780957,.40274078,.86301595,1.0931535,1.2082223,.97808474,1.1506879,1.7835662,1.7835662,1.4383599,1.4383599,1.8411007,2.6465821,2.8191853,3.2794604,3.2219262,2.761651,2.4164445,2.2438414,2.8767197,2.5315135,2.4164445,2.0712383,2.186307,2.2438414,2.0712383,2.0712383,1.898635
