Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,2934855,2.934854984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336,0,0,0,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.1022197008,.1022197008,.1022197008,.0340732336,.0340732336,.0340732336,.0340732336,.0681464672,.0681464672,.0681464672,.0340732336,.0340732336,.0340732336,.0681464672,.0681464672,.0681464672,.1022197008,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.1022197008,.0681464672,.0681464672,.1022197008,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.0681464672,.0340732336,.0340732336,.0340732336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0340732336,.0340732336,.0340732336,.0340732336,.0340732336
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/ht/flat/64.png,11123176,11.12317562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0089902384,.0089902384,.0089902384,.0089902384,.0179804768,.0179804768,.0179804768,.0269707143,.0269707143,.0269707143,.0179804768,.0179804768,.0179804768,.0179804768,.0089902384,.0089902384,.0089902384,.0089902384,.0179804768,.0179804768,.0269707143,.0269707143,.0269707143,.0269707143,.0269707143,.044951193,.044951193,.0359609537,.0359609537,.0539414287,.0539414287,.0539414287,.0539414287,.0539414287,.0539414287,.0629316717,.0719219074,.0719219074,.080912143,.080912143,.0719219074,.0719219074,.0719219074,.080912143,.080912143,.0629316717,.080912143,.080912143,.0719219074,.0539414287,.0629316717,.1168731004,.1258633435,.1168731004,.1258633435,.1708145291,.1708145291,.1798047721,.1708145291,.1977852434,.2067754865,.1528340578,.1438438147,.1528340578
Honduras,HND,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/hn/flat/64.png,9587522,9.587521553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0104302242,.0104302242,.0104302242,.0312906727,.0730115697,.0730115697,.1043022424,.1460231394,.156453371,.156453371,.2190347165,.2190347165,.2190347165,.198174268,.1668835878,.1668835878,.1460231394,.1147324666,.1043022424,.1147324666,.0938720182,.1355929226,.198174268,.2503253818,.239895165,.239895165,.2294649333,.2190347165,.2294649333,.3024764955,.2920462787,.2503253818,.2086044848,.1877440363,.2086044848,.2607555985,.3024764955,.3129067421,.3650578558,.2920462787,.3546276391,.4172089696,.4589298666,.4484996498,.438069433,.3859182894,.4276391864,.4693600833,.4276391864,.5215111971,.4276391864,.4067787528,.3859182894,.4067787528,.4067787528,.4067787528,.4172089696,.4797903299,.4589298666,.4902205467,.5006507635,.5215111971,.5423716903,.5215111971,.5110809803,.5632321239,.5840925574,.5215111971,.604952991,.5632321239,.636243701,.6258134842,.5840925574,.6466739178
Guatemala,GTM,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/gt/flat/64.png,17247807,17.24780655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,.0057978388,0,0,0,0,0,0,0,0,0,.0057978388,.0057978388,.0115956776,.0115956776,.0115956776,.0115956776,.0115956776,.0115956776,.0231913552,.0231913552,.0173935164,.0173935164,.0115956776,.0231913552,.0231913552,.0231913552,.0231913552,.0231913552,.0173935164,.0347870328,.0347870328,.0463827103,.0579783879,.0463827103,.0463827103,.0521805473,.0521805473,.0521805473,.0521805473,.0347870328,.0463827103,.0347870328,.0347870328,.0463827103,.0521805473,.0463827103,.0579783879,.0579783879,.0579783879,.0695740655,.0579783879,.0637762249,.0695740655,.0579783879,.0637762249,.1101589352,.1101589352,.1275524497,.139148131,.1507438123,.1681373268,.1681373268,.17393516,.2029243559,.2609027326,.2724984288,.3304767907,.3478703201,.3768595159,.3942530155,.4928162992,.5739860535,.8870693445,.9392498732,.9972282648
Ecuador,ECU,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ec/flat/64.png,17084357,17.08435631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0117066158,.0117066158,.0117066158,.0117066158,.0117066158,.0175599232,.02926654,.0409731567,.0819463134,.1053595468,.1463326961,.1521860063,.1873058528,.1990124732,.2692521811,.3219319284,.3219319284,.3980249465,.4624113441,.5970374346,.6906903386,.8428763747,.8545829654,.9072627425,1.006768942,1.077008724,1.240901351,1.299434423,1.299434423,1.246754646,1.229194641,1.153101683,1.21748805,1.240901351,1.176514864,1.252607942,1.182368279,1.229194641,1.199928164,1.194074869,1.199928164,1.211634755,1.100421906,1.012622237,1.416500568,2.429122925,2.394002914,2.300349951,3.178346157,4.881659031,5.876721382,5.812335014,5.812335014,6.099146843,5.800628185,4.875805378,4.881659031,7.182008743,6.333279133,5.595762253,4.507047176,4.501194,5.999640942,6.263039589,6.333279133,6.40937233,6.567411423,4.454367638,4.647526741,4.26706171,4.460220814,4.507047176,3.564664602,3.01445365,3.154932976,3.008600235,2.897387505,2.610575438,2.452536106,1.767699003,2.001831293,2.212550402,1.656486154,1.937444925,1.949151516,1.802818894
Dominican Republic,DOM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/do/flat/64.png,10627165,10.62716484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0094098477,.0094098477,.0188196953,.0188196953,.0188196953,.0282295421,.0282295421,.0564590842,.0940984711,.0940984711,.1787870973,.2540658712,.3481643498,.3763938844,.4610825181,.5081317425,.5363612771,.5834105611,.5457711816,.6775090098,.6210499406,.6586893201,.6492794752,.7151483893,.7057385445,.7339680791,1.063312769,1.025673389,1.082132459,1.0068537,1.035083175,.9598044157,1.025673389,1.016263485,1.025673389,1.035083175,.8186567426,.8280665874,.7904272079,.7904272079,.7716075182,.7716075182,.6492794752,.6304597855,.6210499406,.6398696303,.6210499406,.6398696303,.743377924,.7621976733,.7904272079,.8562961221,.8845256567,.8657059669,.8186567426,.7527877688,.7151483893,.7151483893,.7151483893,.6586893201,.6210499406,.5175415874,.5081317425,.5269514322,.5457711816,.5175415874,.5081317425,.4610825181,.3387545049,.3387545049,.3763938844,.4328529835,.4799022079,.4422628284,.4893120527,.5081317425,.4328529835,.5363612771,.5457711816,.5645908713,.5363612771,.5834105611,.4987219274
Costa Rica,CRI,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/cr/flat/64.png,4999441,4.999441147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0200022366,.0200022366,.0400044732,.0400044732,.0400044732,.0400044732,.0400044732,.0400044732,.0400044732,.0400044732,.0200022366,.0200022366,0,0,0,0,0,0,0,0,.0200022366,.0200022366,.0200022366,.0200022366,.0200022366,.0200022366,.0200022366,.0400044732,.0400044732,.0400044732,.0200022366,.0400044732,.0600067079,.0600067079,.0600067079,.0600067079,.0600067079,.0400044732,.0400044732,.0400044732,.0400044732,.0200022366,0,0,0,0,0,0,0,0,0,0,.0200022366,.0200022366,.0200022366,.0400044732,.0400044732,.0600067079,.0800089464,.0800089464,.0800089464,.0800089464,.0600067079,.0600067079,.0600067079,.0400044732,.0400044732,.0200022366,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/co/flat/64.png,49648685,49.64868546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.004028304,.0060424563,.0060424563,.008056608,.0120849125,.0120849125,.0120849125,.0201415196,.024169825,.0322264321,.0302122794,.0322264321,.0443113446,.0563962571,.0584104098,.0805660784,.0886226892,.0886226892,.114806667,.1289057285,.1671746224,.1812736839,.1752312183,.19134444,.1933586001,.1973868906,.2074576616,.1994010508,.2215567231,.219542563,.1933586001,.1953727454,.2074576616,.1973868906,.2054435015,.2014151961,.2014151961,.2336416394,.1994010508,.2094718069,.2376699448,.2376699448,.2517690063,.2678822279,.2920520306,.3081652522,.3101794124,.3202501833,.3363633752,.3424058557,.3323350847,.3403916955,.3403916955,.3363633752,.3383775353,.3323350847,.3363633752,.3303209245,.3383775353,.3363633752,.3484483063,.3806747198,.3947737813,.4068587124,.4108870029,.4310285449,.4612407982,.4854106307,.4874247909,.525693655,.5317361355,.5659767389,.6223729849,.6646701694,.7029390335,.8620570898,.8076749444,.8701136708
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,18729160,18.72916031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0053392677,.0106785353,.0106785353,.0160178021,.0213570707,.0266963374,.0320356041,.0373748727,.0427141413,.0640712082,.0800890177,.0854282826,.1067853495,.1281424165,.1601780355,.1708565652,.1975529045,.2189099789,.2616241276,.2829811871,.3043382466,.3310346007,.320356071,.3470523953,.320356071,.36307019,.3897665441,.4164628685,.4057843387,.395105809,.395105809,.4271413982,.4591770172,.4378199577,.4645162821,.4484984875,.4378199577,.4324806929,.4431592226,.469855547,.4645162821,.4645162821,.4912126362,.5125696659,.5018911362,.4912126362,.4645162821,.4645162821,.469855547,.4538377523,.4751948118,.469855547,.4591770172,.5232482553,.6353728771,.747497499,.8809791803,.9824252725,1.094549894,1.238710046,1.420245171,1.575083971,1.745940566,1.868743658,1.95951128,2.055618048,2.087653637,2.199778318,2.32258153,2.418688297,2.482759476,2.578866243,2.749722958,2.973972082,3.176864147,3.427809954,3.737487316,3.988432884
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,286641,.2866410017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3488684297,.6977368593,1.046605349,1.046605349,1.046605349,1.395473719,1.395473719,1.395473719,1.395473719,1.395473719,1.395473719,1.046605349,.6977368593,.6977368593,.6977368593,.3488684297,.3488684297,.3488684297,.6977368593,.6977368593,.3488684297,.3488684297,.3488684297,.3488684297,.6977368593,.6977368593,.6977368593,.6977368593,.3488684297,.3488684297,.3488684297,.3488684297,.3488684297,.3488684297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
