date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom
4/19/20,Channel Islands,CHI,488,21,.043032788,.14698794,3320
4/19/20,Chile,CHL,10956,133,.012139467,.096402079,113649
4/19/20,China,CHN,83805,4636,.055318896,,
4/19/20,Colombia,COL,3792,179,.04720464,.060434133,62746
4/19/20,Croatia,HRV,1871,47,.025120256,.077358805,24186
4/19/20,Cuba,CUB,1035,34,.032850243,.038358904,26982
4/19/20,Cyprus,CYP,767,12,.015645372,.022501247,34087
4/19/20,Czech Republic,CZE,6746,186,.027571894,.04013183,168096
4/19/20,Democratic Republic of Congo,COD,327,25,.076452598,,
4/19/20,Denmark,DNK,7384,355,.048076924,.078322388,94277
4/19/20,Dominican Republic,DOM,4680,226,.048290599,.30032727,15583
4/19/20,Ecuador,ECU,9468,474,.050063372,.29765162,31809
4/19/20,Egypt,EGY,3144,239,.076017812,.057163637,55000
4/19/20,Estonia,EST,1528,40,.02617801,.037884612,40333
4/19/20,Finland,FIN,3783,94,.024848005,.066020943,57300
4/19/20,France,FRA,151808,19694,.12972966,.32741091,463662
4/19/20,Germany,DEU,145184,4586,.031587504,.084001161,1728357
4/19/20,Greece,GRC,2235,113,.050559282,.041940328,53290
4/19/20,Honduras,HND,472,46,.097457625,.18619329,2535
4/19/20,Hungary,HUN,1916,189,.098643005,.041334972,46353
4/19/20,India,IND,17615,559,.031734318,.04386358,401586
4/19/20,Indonesia,IDN,6575,582,.088517107,.15573557,42219
4/19/20,Iran,IRN,82211,5118,.062254444,.24062085,341662
4/19/20,Iraq,IRQ,1539,82,.053281352,.027410191,56147
4/19/20,Ireland,IRL,15251,610,.039997377,.16824791,90646
4/19/20,Israel,ISR,13491,172,.01274924,.072048061,187250
4/19/20,Italy,ITA,178972,23660,.13219945,.13193262,1356541
4/19/20,Japan,JPN,10914,255,.023364486,.096741594,112816
4/19/20,Kazakhstan,KAZ,1676,17,.010143198,.016614128,100878
4/19/20,Kenya,KEN,270,14,.05185185,.02039429,13239
4/19/20,Kosovo,XKX,510,12,.023529412,,
4/19/20,Lebanon,LBN,673,21,.031203566,.032156337,20929
4/19/20,Lithuania,LTU,1298,35,.02696456,.020270165,64035
4/19/20,Luxembourg,LUX,3550,73,.020563381,.10544764,33666
4/19/20,Malaysia,MYS,5389,89,.016515123,.051871173,103892
4/19/20,Mali,MLI,224,14,.0625,,
4/19/20,Mexico,MEX,8261,686,.083040796,.16801921,49167
