barrio,population,category,23apr2020 ,30apr2020 ,07may2020 ,14may2020 ,21may2020 ,28may2020 ,04jun2020 ,11jun2020 ,18jun2020 ,25jun2020 ,02jul2020 ,09jul2020 ,16jul2020 ,23jul2020 ,30jul2020 ,06aug2020 
MONSERRAT,40373.94531,Medium,2.476844788,7.43053484,2.476844788,14.86106968,42.10636139,49.53689957,118.8885574,118.8885574,195.6707458,217.9623566,156.0412292,312.0824585,324.4666748,460.6931458,398.7720337,329.4203796
MATADEROS,64267.80859,Medium,0,6.223955631,1.555988908,10.89192295,4.667966843,32.67576981,45.12368011,57.57159042,102.6952744,141.5950012,182.050705,262.9621277,214.7264709,309.6418152,238.0663147,258.2941589
LINIERS,44203.25391,Medium,13.5736618,4.524553776,0,15.83593845,9.049107552,13.5736618,9.049107552,38.4587059,58.81919861,113.1138458,104.0647354,219.4408569,196.8180847,242.0636292,239.8013458,203.6049194
LA BOCA,44893.19141,Medium,.,.,.,.,.,.,.,.,231.660965,287.3486938,363.0840149,443.274353,378.6765747,441.0468445,483.3695068,458.8669128
FLORESTA,37430.65625,Medium,8.014821053,16.02964211,0,16.02964211,16.02964211,53.43213654,53.43213654,104.1926727,152.281601,149.6099854,130.9087372,245.7878418,219.0717621,317.9212341,248.4594421,288.5335388
FLORES,164184.9063,Low,31.67160797,33.49881744,50.55275726,119.9866714,215.6105652,359.960022,403.8129883,293.5714417,405.6401978,294.7895813,222.9193878,251.5456543,249.7184448,319.1523438,297.2258606,333.1609497
CONSTITUCION,43963.13281,Medium,2.274633169,9.098532677,2.274633169,11.37316608,27.29559708,120.5555573,136.4779968,138.7526245,218.3647766,216.0901489,270.6813354,357.1174011,277.505249,534.5388184,482.222229,429.9056702
COLEGIALES,48692.09766,Medium,2.053721428,8.214885712,6.161163807,12.32232761,8.214885712,14.37604904,100.6323471,34.91326141,80.09513092,73.93396759,63.66536331,100.6323471,149.9216614,240.2854004,162.243988,180.727478
COGHLAN,18723.56641,Medium,5.340862751,0,5.340862751,10.6817255,32.04517746,80.11294556,37.38603973,53.40862656,42.72690201,85.45380402,117.4989853,133.5215759,149.5441589,224.3162384,202.9527893,101.4763947
CHACARITA,27567.86523,Medium,7.254823685,3.627411842,3.627411842,3.627411842,3.627411842,32.64670563,123.3320007,203.1350555,257.5462341,333.7218933,246.6640015,475.1909485,380.8782349,333.7218933,424.407196,424.407196
CABALLITO,174860.9844,Medium,3.431297064,5.146945953,5.146945953,8.006360054,22.30343246,29.16602516,36.60050201,41.74744797,61.19146729,89.21372986,70.91347504,135.5362396,152.6927185,195.5839386,216.7436066,237.3313904
BOEDO,47357.04297,Medium,4.223236561,8.446473122,2.11161828,6.33485508,25.33942032,52.79045868,86.57635498,54.90207672,120.3622437,162.5946045,103.4692993,213.2734528,198.4921265,238.6128693,223.831543,251.2825775
BOCA,44827.22266,Medium,4.461574554,13.38472366,-22.30787277,53.53889465,31.23102188,71.38519287,147.2319641,.,.,.,.,.,.,.,.,.
BELGRANO,126824.1641,Medium,18.92383766,11.0389061,5.519453049,7.096439362,10.25041294,26.02027702,38.63616943,27.59726524,47.30959702,64.65644836,67.02192688,112.7545395,151.3907013,175.0455017,146.6597443,195.5463257
BARRACAS,89544.16406,Medium,1.116767406,8.934139252,12.28444099,29.03595161,85.99108887,222.2367096,246.8055878,341.7308044,479.0932007,610.8717651,543.8657227,511.4794617,348.431427,557.2669067,424.3716125,491.377655
BALVANERA,139149.5313,Medium,7.905165195,12.21707344,6.467862129,15.81033039,36.65121841,105.6417465,97.73658752,139.4183655,179.6628418,310.4573975,257.9958496,352.1391602,378.7292786,388.0717468,374.4173584,362.9189453
ALMAGRO,132009.7813,Medium,2.272558928,7.575196266,3.030078411,10.60527515,20.45302963,48.48125458,57.57149124,78.78204346,109.0828247,193.9250183,137.1110535,244.678833,200.7427063,261.3442688,228.0134125,227.2558899
AGRONOMIA,13894.51367,Medium,0,0,0,7.197085381,21.59125519,14.39417076,7.197085381,35.98542786,57.57668304,64.77376556,129.5475311,122.3504486,93.5621109,165.532959,201.5183868,107.9562759
